,filename,width,height
535,dog_0133._slice4.jpg,172,155
536,dog_0134._slice1.jpg,152,121
537,dog_0134._slice2.jpg,152,121
538,dog_0134._slice3.jpg,152,121
539,dog_0134._slice4.jpg,152,121
540,dog_0135._slice1.jpg,172,128
541,dog_0135._slice2.jpg,172,128
542,dog_0135._slice3.jpg,172,128
543,dog_0135._slice4.jpg,172,128
544,dog_0136._slice1.jpg,170,192
545,dog_0136._slice2.jpg,170,192
546,dog_0136._slice3.jpg,170,192
547,dog_0136._slice4.jpg,170,192
548,dog_0137._slice1.jpg,195,235
549,dog_0137._slice2.jpg,195,235
550,dog_0137._slice3.jpg,195,235
551,dog_0137._slice4.jpg,195,235
552,dog_0138._slice1.jpg,85,86
553,dog_0138._slice2.jpg,85,86
554,dog_0138._slice3.jpg,85,86
555,dog_0138._slice4.jpg,85,86
556,dog_0139._slice1.jpg,189,118
557,dog_0139._slice2.jpg,189,118
558,dog_0139._slice3.jpg,189,118
559,dog_0139._slice4.jpg,189,118
560,dog_0140._slice1.jpg,183,110
561,dog_0140._slice2.jpg,183,110
562,dog_0140._slice3.jpg,183,110
563,dog_0140._slice4.jpg,183,110
564,dog_0141._slice1.jpg,215,135
565,dog_0141._slice2.jpg,215,135
566,dog_0141._slice3.jpg,215,135
567,dog_0141._slice4.jpg,215,135
568,dog_0142._slice1.jpg,182,201
569,dog_0142._slice2.jpg,182,201
570,dog_0142._slice3.jpg,182,201
571,dog_0142._slice4.jpg,182,201
572,dog_0143._slice1.jpg,228,169
573,dog_0143._slice2.jpg,228,169
574,dog_0143._slice3.jpg,228,169
575,dog_0143._slice4.jpg,228,169
576,dog_0144._slice1.jpg,169,103
577,dog_0144._slice2.jpg,169,103
578,dog_0144._slice3.jpg,169,103
579,dog_0144._slice4.jpg,169,103
580,dog_0145._slice1.jpg,179,149
581,dog_0145._slice2.jpg,179,149
582,dog_0145._slice3.jpg,179,149
583,dog_0145._slice4.jpg,179,149
584,dog_0146._slice1.jpg,195,153
585,dog_0146._slice2.jpg,195,153
586,dog_0146._slice3.jpg,195,153
587,dog_0146._slice4.jpg,195,153
588,dog_0147._slice1.jpg,66,77
589,dog_0147._slice2.jpg,66,77
590,dog_0147._slice3.jpg,66,77
591,dog_0147._slice4.jpg,66,77
592,dog_0148._slice1.jpg,169,168
593,dog_0148._slice2.jpg,169,168
594,dog_0148._slice3.jpg,169,168
595,dog_0148._slice4.jpg,169,168
596,dog_0149._slice1.jpg,83,44
597,dog_0149._slice2.jpg,83,44
598,dog_0149._slice3.jpg,83,44
599,dog_0149._slice4.jpg,83,44
600,dog_0150._slice1.jpg,121,194
601,dog_0150._slice2.jpg,121,194
602,dog_0150._slice3.jpg,121,194
603,dog_0150._slice4.jpg,121,194
604,dog_0151._slice1.jpg,78,104
605,dog_0151._slice2.jpg,78,104
606,dog_0151._slice3.jpg,78,104
607,dog_0151._slice4.jpg,78,104
608,dog_0152._slice1.jpg,132,134
609,dog_0152._slice2.jpg,132,134
610,dog_0152._slice3.jpg,132,134
611,dog_0152._slice4.jpg,132,134
612,dog_0153._slice1.jpg,184,156
613,dog_0153._slice2.jpg,184,156
614,dog_0153._slice3.jpg,184,156
615,dog_0153._slice4.jpg,184,156
616,dog_0154._slice1.jpg,140,173
617,dog_0154._slice2.jpg,140,173
618,dog_0154._slice3.jpg,140,173
619,dog_0154._slice4.jpg,140,173
620,dog_0155._slice1.jpg,136,205
621,dog_0155._slice2.jpg,136,205
622,dog_0155._slice3.jpg,136,205
623,dog_0155._slice4.jpg,136,205
624,dog_0156._slice1.jpg,168,201
625,dog_0156._slice2.jpg,168,201
626,dog_0156._slice3.jpg,168,201
627,dog_0156._slice4.jpg,168,201
628,dog_0157._slice1.jpg,80,112
629,dog_0157._slice2.jpg,80,112
630,dog_0157._slice3.jpg,80,112
631,dog_0157._slice4.jpg,80,112
632,dog_0158._slice1.jpg,25,29
633,dog_0158._slice2.jpg,25,29
634,dog_0158._slice3.jpg,25,29
635,dog_0158._slice4.jpg,25,29
636,dog_0159._slice1.jpg,232,176
637,dog_0159._slice2.jpg,232,176
638,dog_0159._slice3.jpg,232,176
639,dog_0159._slice4.jpg,232,176
